"Prihodi in prenoèitve domaèih in tujih turistov, obèine, Slovenija, letno"

"OBÈINE";"DRŽAVE";"Prihodi turistov 2019"
"Ajdovšèina";"Države - SKUPAJ";15008
"Ankaran/Ancarano";"Države - SKUPAJ";83335
"Apaèe";"Države - SKUPAJ";z
"Beltinci";"Države - SKUPAJ";505
"Benedikt";"Države - SKUPAJ";1472
"Bistrica ob Sotli";"Države - SKUPAJ";407
"Bled";"Države - SKUPAJ";509247
"Bloke";"Države - SKUPAJ";z
"Bohinj";"Države - SKUPAJ";271692
"Borovnica";"Države - SKUPAJ";775
"Bovec";"Države - SKUPAJ";188514
"Braslovèe";"Države - SKUPAJ";431
"Brda";"Države - SKUPAJ";27468
"Brezovica";"Države - SKUPAJ";2367
"Brežice";"Države - SKUPAJ";202470
"Cankova";"Države - SKUPAJ";1026
"Celje";"Države - SKUPAJ";34162
"Cerklje na Gorenjskem";"Države - SKUPAJ";44249
"Cerknica";"Države - SKUPAJ";9696
"Cerkno";"Države - SKUPAJ";16197
"Cerkvenjak";"Države - SKUPAJ";813
"Cirkulane";"Države - SKUPAJ";104
"Èrenšovci";"Države - SKUPAJ";128
"Èrna na Koroškem";"Države - SKUPAJ";z
"Èrnomelj";"Države - SKUPAJ";18465
"Destrnik";"Države - SKUPAJ";2930
"Divaèa";"Države - SKUPAJ";16081
"Dobje";"Države - SKUPAJ";z
"Dobrepolje";"Države - SKUPAJ";-
"Dobrna";"Države - SKUPAJ";25460
"Dobrova - Polhov Gradec";"Države - SKUPAJ";1390
"Dobrovnik/Dobronak";"Države - SKUPAJ";267
"Dol pri Ljubljani";"Države - SKUPAJ";1269
"Dolenjske Toplice";"Države - SKUPAJ";29270
"Domžale";"Države - SKUPAJ";34504
"Dornava";"Države - SKUPAJ";z
"Dravograd";"Države - SKUPAJ";6852
"Duplek";"Države - SKUPAJ";-
"Gorenja vas - Poljane";"Države - SKUPAJ";4542
"Gorišnica";"Države - SKUPAJ";z
"Gorje";"Države - SKUPAJ";15612
"Gornja Radgona";"Države - SKUPAJ";887
"Gornji Grad";"Države - SKUPAJ";765
"Gornji Petrovci";"Države - SKUPAJ";112
"Grad";"Države - SKUPAJ";439
"Grosuplje";"Države - SKUPAJ";15485
"Hajdina";"Države - SKUPAJ";6222
"Hoèe - Slivnica";"Države - SKUPAJ";19273
"Hodoš/Hodos";"Države - SKUPAJ";z
"Horjul";"Države - SKUPAJ";z
"Hrastnik";"Države - SKUPAJ";360
"Hrpelje - Kozina";"Države - SKUPAJ";26386
"Idrija";"Države - SKUPAJ";9962
"Ig";"Države - SKUPAJ";1334
"Ilirska Bistrica";"Države - SKUPAJ";7746
"Ivanèna Gorica";"Države - SKUPAJ";2311
"Izola/Isola";"Države - SKUPAJ";148173
"Jesenice";"Države - SKUPAJ";20591
"Jezersko";"Države - SKUPAJ";8060
"Juršinci";"Države - SKUPAJ";z
"Kamnik";"Države - SKUPAJ";41396
"Kanal";"Države - SKUPAJ";3520
"Kidrièevo";"Države - SKUPAJ";z
"Kobarid";"Države - SKUPAJ";79915
"Kobilje";"Države - SKUPAJ";-
"Koèevje";"Države - SKUPAJ";11125
"Komen";"Države - SKUPAJ";5220
"Komenda";"Države - SKUPAJ";z
"Koper/Capodistria";"Države - SKUPAJ";103786
"Kostanjevica na Krki";"Države - SKUPAJ";1277
"Kostel";"Države - SKUPAJ";4652
"Kozje";"Države - SKUPAJ";z
"Kranj";"Države - SKUPAJ";70938
"Kranjska Gora";"Države - SKUPAJ";325955
"Križevci";"Države - SKUPAJ";986
"Krško";"Države - SKUPAJ";7274
"Kungota";"Države - SKUPAJ";4645
"Kuzma";"Države - SKUPAJ";-
"Laško";"Države - SKUPAJ";83661
"Lenart";"Države - SKUPAJ";z
"Lendava/Lendva";"Države - SKUPAJ";39105
"Litija";"Države - SKUPAJ";1467
"Ljubljana";"Države - SKUPAJ";1127904
"Ljubno";"Države - SKUPAJ";7442
"Ljutomer";"Države - SKUPAJ";26961
"Log - Dragomer";"Države - SKUPAJ";173
"Logatec";"Države - SKUPAJ";11491
"Loška dolina";"Države - SKUPAJ";z
"Loški Potok";"Države - SKUPAJ";716
"Lovrenc na Pohorju";"Države - SKUPAJ";584
"Luèe";"Države - SKUPAJ";8132
"Lukovica";"Države - SKUPAJ";4635
"Majšperk";"Države - SKUPAJ";z
"Makole";"Države - SKUPAJ";z
"Maribor";"Države - SKUPAJ";217817
"Markovci";"Države - SKUPAJ";-
"Medvode";"Države - SKUPAJ";16488
"Mengeš";"Države - SKUPAJ";1645
"Metlika";"Države - SKUPAJ";15938
"0 Mežica";"Države - SKUPAJ";3066
"Miklavž na Dravskem polju";"Države - SKUPAJ";1639
"Miren - Kostanjevica";"Države - SKUPAJ";3014
"Mirna";"Države - SKUPAJ";z
"Mirna Peè";"Države - SKUPAJ";189
"Mislinja";"Države - SKUPAJ";5932
"Mokronog - Trebelno";"Države - SKUPAJ";629
"Moravèe";"Države - SKUPAJ";z
"Moravske Toplice";"Države - SKUPAJ";171930
"Mozirje";"Države - SKUPAJ";14293
"Murska Sobota";"Države - SKUPAJ";26807
"Muta";"Države - SKUPAJ";334
"Naklo";"Države - SKUPAJ";12130
"Nazarje";"Države - SKUPAJ";474
"Nova Gorica";"Države - SKUPAJ";102981
"Novo mesto";"Države - SKUPAJ";46342
"Odranci";"Države - SKUPAJ";z
"Oplotnica";"Države - SKUPAJ";z
"Ormož";"Države - SKUPAJ";3580
"Osilnica";"Države - SKUPAJ";z
"Pesnica";"Države - SKUPAJ";1182
"Piran/Pirano";"Države - SKUPAJ";620495
"Pivka";"Države - SKUPAJ";9189
"Podèetrtek";"Države - SKUPAJ";129933
"Podlehnik";"Države - SKUPAJ";z
"Podvelka";"Države - SKUPAJ";174
"Poljèane";"Države - SKUPAJ";z
"Polzela";"Države - SKUPAJ";z
"Postojna";"Države - SKUPAJ";116330
"Prebold";"Države - SKUPAJ";3438
"Preddvor";"Države - SKUPAJ";10532
"Prevalje";"Države - SKUPAJ";3697
"Ptuj";"Države - SKUPAJ";66970
"Puconci";"Države - SKUPAJ";732
"Raèe - Fram";"Države - SKUPAJ";688
"Radeèe";"Države - SKUPAJ";393
"Radenci";"Države - SKUPAJ";42650
"Radlje ob Dravi";"Države - SKUPAJ";2229
"Radovljica";"Države - SKUPAJ";141012
"Ravne na Koroškem";"Države - SKUPAJ";3784
"Razkrižje";"Države - SKUPAJ";448
"Reèica ob Savinji";"Države - SKUPAJ";10847
"Renèe - Vogrsko";"Države - SKUPAJ";z
"Ribnica";"Države - SKUPAJ";1423
"Ribnica na Pohorju";"Države - SKUPAJ";8369
"Rogaška Slatina";"Države - SKUPAJ";58208
"Rogašovci";"Države - SKUPAJ";1186
"Rogatec";"Države - SKUPAJ";1637
"Ruše";"Države - SKUPAJ";4387
"Selnica ob Dravi";"Države - SKUPAJ";4351
"Semiè";"Države - SKUPAJ";5243
"Sevnica";"Države - SKUPAJ";2924
"Sežana";"Države - SKUPAJ";70685
"Slovenj Gradec";"Države - SKUPAJ";8571
"Slovenska Bistrica";"Države - SKUPAJ";20389
"Slovenske Konjice";"Države - SKUPAJ";3448
"Sodražica";"Države - SKUPAJ";z
"Solèava";"Države - SKUPAJ";14891
"Središèe ob Dravi";"Države - SKUPAJ";-
"Starše";"Države - SKUPAJ";z
"Straža";"Države - SKUPAJ";1064
"Sveta Ana";"Države - SKUPAJ";z
"Sveta Trojica v Slov. goricah";"Države - SKUPAJ";z
"Sveti Andraž v Slov. goricah";"Države - SKUPAJ";z
"Sveti Jurij ob Šèavnici";"Države - SKUPAJ";198
"Sveti Jurij v Slov. goricah";"Države - SKUPAJ";z
"Sveti Tomaž";"Države - SKUPAJ";-
"Šalovci";"Države - SKUPAJ";927
"Šempeter - Vrtojba";"Države - SKUPAJ";z
"Šenèur";"Države - SKUPAJ";9322
"Šentilj";"Države - SKUPAJ";12400
"Šentjernej";"Države - SKUPAJ";226
"Šentjur";"Države - SKUPAJ";941
"Šentrupert";"Države - SKUPAJ";z
"Škocjan";"Države - SKUPAJ";2617
"Škofja Loka";"Države - SKUPAJ";10913
"Škofljica";"Države - SKUPAJ";3151
"Šmarje pri Jelšah";"Države - SKUPAJ";746
"Šmarješke Toplice";"Države - SKUPAJ";16730
"Šmartno ob Paki";"Države - SKUPAJ";z
"Šmartno pri Litiji";"Države - SKUPAJ";-
"Šoštanj";"Države - SKUPAJ";34292
"Štore";"Države - SKUPAJ";870
"Tabor";"Države - SKUPAJ";z
"Tišina";"Države - SKUPAJ";-
"Tolmin";"Države - SKUPAJ";61809
"Trbovlje";"Države - SKUPAJ";917
"Trebnje";"Države - SKUPAJ";13468
"Trnovska vas";"Države - SKUPAJ";-
"Trzin";"Države - SKUPAJ";864
"Tržiè";"Države - SKUPAJ";8263
"Turnišèe";"Države - SKUPAJ";-
"Velenje";"Države - SKUPAJ";12372
"Velika Polana";"Države - SKUPAJ";-
"Velike Lašèe";"Države - SKUPAJ";628
"Veržej";"Države - SKUPAJ";30532
"Videm";"Države - SKUPAJ";6837
"Vipava";"Države - SKUPAJ";9134
"Vitanje";"Države - SKUPAJ";871
"Vodice";"Države - SKUPAJ";1179
"Vojnik";"Države - SKUPAJ";1110
"Vransko";"Države - SKUPAJ";3662
"Vrhnika";"Države - SKUPAJ";10349
"Vuzenica";"Države - SKUPAJ";z
"Zagorje ob Savi";"Države - SKUPAJ";1840
"Zavrè";"Države - SKUPAJ";z
"Zreèe";"Države - SKUPAJ";78935
"Žalec";"Države - SKUPAJ";8924
"Železniki";"Države - SKUPAJ";7869
"Žetale";"Države - SKUPAJ";z
"Žiri";"Države - SKUPAJ";628
"Žirovnica";"Države - SKUPAJ";9567
"Žužemberk";"Države - SKUPAJ";1320
