"";"Spol";"Leto";"Dohodek"
"1";"Moški";2008;7585
"2";"Moški";2009;8268
"3";"Moški";2010;8371
"4";"Moški";2011;8538
"5";"Moški";2012;8605
"6";"Moški";2013;8485
"7";"Moški";2014;8615
"8";"Moški";2015;8898
"9";"Moški";2016;8877
"10";"Moški";2017;9131
"11";"Moški";2018;9438
"12";"Moški";2019;10225
"13";"Ženske";2008;7482
"14";"Ženske";2009;8131
"15";"Ženske";2010;8264
"16";"Ženske";2011;8426
"17";"Ženske";2012;8529
"18";"Ženske";2013;8342
"19";"Ženske";2014;8424
"20";"Ženske";2015;8595
"21";"Ženske";2016;8591
"22";"Ženske";2017;8851
"23";"Ženske";2018;9228
"24";"Ženske";2019;9961
