STATISTIÈNA REGIJA STALNEGA PREBIVALIŠÈA;ŠOLSKO LETO;Vsi dijaki
SLOVENIJA;2009/10;85030
SLOVENIJA;2010/11;82267
SLOVENIJA;2011/12;79901
SLOVENIJA;2012/13;78208
SLOVENIJA;2013/14;76714
SLOVENIJA;2014/15;75325
SLOVENIJA;2015/16;74759
SLOVENIJA;2016/17;74021
SLOVENIJA;2017/18;73776
SLOVENIJA;2018/19;73110
Pomurska;2009/10;6618
Pomurska;2010/11;4645
Pomurska;2011/12;4443
Pomurska;2012/13;4262
Pomurska;2013/14;4104
Pomurska;2014/15;3987
Pomurska;2015/16;3889
Pomurska;2016/17;3725
Pomurska;2017/18;3651
Pomurska;2018/19;3711
Podravska;2009/10;12357
Podravska;2010/11;12390
Podravska;2011/12;12176
Podravska;2012/13;11800
Podravska;2013/14;11488
Podravska;2014/15;10995
Podravska;2015/16;10759
Podravska;2016/17;10576
Podravska;2017/18;10666
Podravska;2018/19;10618
Koroška;2009/10;5233
Koroška;2010/11;3199
Koroška;2011/12;3047
Koroška;2012/13;2997
Koroška;2013/14;3013
Koroška;2014/15;2829
Koroška;2015/16;2840
Koroška;2016/17;2720
Koroška;2017/18;2602
Koroška;2018/19;2523
Savinjska;2009/10;10382
Savinjska;2010/11;10900
Savinjska;2011/12;10694
Savinjska;2012/13;10605
Savinjska;2013/14;10182
Savinjska;2014/15;10043
Savinjska;2015/16;9761
Savinjska;2016/17;9543
Savinjska;2017/18;9493
Savinjska;2018/19;9300
Zasavska;2009/10;1130
Zasavska;2010/11;1796
Zasavska;2011/12;1726
Zasavska;2012/13;1636
Zasavska;2013/14;1619
Zasavska;2014/15;1538
Zasavska;2015/16;2116
Zasavska;2016/17;2026
Zasavska;2017/18;1962
Zasavska;2018/19;1864
Spodnjeposavska;2009/10;2572
Spodnjeposavska;2010/11;2817
Spodnjeposavska;2011/12;2736
Spodnjeposavska;2012/13;2692
Spodnjeposavska;2013/14;2667
Spodnjeposavska;2014/15;2583
Spodnjeposavska;2015/16;2811
Spodnjeposavska;2016/17;2765
Spodnjeposavska;2017/18;2808
Spodnjeposavska;2018/19;2721
Jugovzhodna Slovenija;2009/10;6254
Jugovzhodna Slovenija;2010/11;6327
Jugovzhodna Slovenija;2011/12;6022
Jugovzhodna Slovenija;2012/13;5771
Jugovzhodna Slovenija;2013/14;5554
Jugovzhodna Slovenija;2014/15;5331
Jugovzhodna Slovenija;2015/16;5277
Jugovzhodna Slovenija;2016/17;5289
Jugovzhodna Slovenija;2017/18;5206
Jugovzhodna Slovenija;2018/19;5130
Osrednjeslovenska;2009/10;22011
Osrednjeslovenska;2010/11;20918
Osrednjeslovenska;2011/12;20339
Osrednjeslovenska;2012/13;19853
Osrednjeslovenska;2013/14;19991
Osrednjeslovenska;2014/15;19064
Osrednjeslovenska;2015/16;18748
Osrednjeslovenska;2016/17;18589
Osrednjeslovenska;2017/18;18644
Osrednjeslovenska;2018/19;18649
Gorenjska;2009/10;7149
Gorenjska;2010/11;8647
Gorenjska;2011/12;8268
Gorenjska;2012/13;8263
Gorenjska;2013/14;8048
Gorenjska;2014/15;7871
Gorenjska;2015/16;7721
Gorenjska;2016/17;7549
Gorenjska;2017/18;7595
Gorenjska;2018/19;7458
Notranjsko-kraška;2009/10;1492
Notranjsko-kraška;2010/11;1993
Notranjsko-kraška;2011/12;2010
Notranjsko-kraška;2012/13;2011
Notranjsko-kraška;2013/14;1897
Notranjsko-kraška;2014/15;1868
Notranjsko-kraška;2015/16;1813
Notranjsko-kraška;2016/17;1808
Notranjsko-kraška;2017/18;1806
Notranjsko-kraška;2018/19;1770
Goriška;2009/10;5939
Goriška;2010/11;4823
Goriška;2011/12;4726
Goriška;2012/13;4584
Goriška;2013/14;4481
Goriška;2014/15;4373
Goriška;2015/16;4336
Goriška;2016/17;4279
Goriška;2017/18;4188
Goriška;2018/19;4061
Obalno-kraška;2009/10;3809
Obalno-kraška;2010/11;3662
Obalno-kraška;2011/12;3562
Obalno-kraška;2012/13;3535
Obalno-kraška;2013/14;3502
Obalno-kraška;2014/15;3422
Obalno-kraška;2015/16;3398
Obalno-kraška;2016/17;3386
Obalno-kraška;2017/18;3355
Obalno-kraška;2018/19;3394
stalno bivališèe neznano ali v tujini;2009/10;84
stalno bivališèe neznano ali v tujini;2010/11;150
stalno bivališèe neznano ali v tujini;2011/12;152
stalno bivališèe neznano ali v tujini;2012/13;199
stalno bivališèe neznano ali v tujini;2013/14;168
stalno bivališèe neznano ali v tujini;2014/15;1421
stalno bivališèe neznano ali v tujini;2015/16;1290
stalno bivališèe neznano ali v tujini;2016/17;1766
stalno bivališèe neznano ali v tujini;2017/18;1800
stalno bivališèe neznano ali v tujini;2018/19;1911
