"VRSTA IZOBRAŽEVANJA";"LETO";"Moški";"Ženske"
"Višje strokovno";"2009";1582;1588
"Višje strokovno";"2010";1732;1945
"Višje strokovno";"2011";2358;2474
"Višje strokovno";"2012";1874;1838
"Višje strokovno";"2013";1228;1121
"Višje strokovno";"2014";1208;986
"Višje strokovno";"2015";976;808
"Višje strokovno";"2016";1012;820
"Višje strokovno";"2017";1026;859
"Višje strokovno";"2018";1099;893
"Višješolski (stari)";"2009";-;-
"Višješolski (stari)";"2010";-;-
"Višješolski (stari)";"2011";-;-
"Višješolski (stari)";"2012";-;-
"Višješolski (stari)";"2013";-;-
"Višješolski (stari)";"2014";-;-
"Višješolski (stari)";"2015";-;-
"Višješolski (stari)";"2016";-;-
"Višješolski (stari)";"2017";-;-
"Višješolski (stari)";"2018";-;-
"Visokošolsko strokovno (prejšnje)";"2009";1801;3059
"Visokošolsko strokovno (prejšnje)";"2010";1686;2593
"Visokošolsko strokovno (prejšnje)";"2011";1258;1921
"Visokošolsko strokovno (prejšnje)";"2012";999;1483
"Visokošolsko strokovno (prejšnje)";"2013";601;787
"Visokošolsko strokovno (prejšnje)";"2014";465;478
"Visokošolsko strokovno (prejšnje)";"2015";360;313
"Visokošolsko strokovno (prejšnje)";"2016";2212;2234
"Visokošolsko strokovno (prejšnje)";"2017";-;-
"Visokošolsko strokovno (prejšnje)";"2018";-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";"2009";199;473
"Visokošolsko strokovno (1. bolonjska stopnja)";"2010";394;937
"Visokošolsko strokovno (1. bolonjska stopnja)";"2011";743;1154
"Visokošolsko strokovno (1. bolonjska stopnja)";"2012";1160;1953
"Visokošolsko strokovno (1. bolonjska stopnja)";"2013";1189;2195
"Visokošolsko strokovno (1. bolonjska stopnja)";"2014";1355;2294
"Visokošolsko strokovno (1. bolonjska stopnja)";"2015";1548;2430
"Visokošolsko strokovno (1. bolonjska stopnja)";"2016";1597;2296
"Visokošolsko strokovno (1. bolonjska stopnja)";"2017";1464;2342
"Visokošolsko strokovno (1. bolonjska stopnja)";"2018";1572;2359
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2009";325;790
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2010";694;1303
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2011";1049;1914
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2012";1498;2704
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2013";1792;3235
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2014";1987;3429
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2015";2036;3528
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2016";1870;3471
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2017";1854;3250
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2018";1790;3081
"Visokošolsko univerzitetno (prejšnje)";"2009";1938;3962
"Visokošolsko univerzitetno (prejšnje)";"2010";2067;4168
"Visokošolsko univerzitetno (prejšnje)";"2011";1727;3614
"Visokošolsko univerzitetno (prejšnje)";"2012";1669;3181
"Visokošolsko univerzitetno (prejšnje)";"2013";1376;2686
"Visokošolsko univerzitetno (prejšnje)";"2014";1052;1939
"Visokošolsko univerzitetno (prejšnje)";"2015";668;1269
"Visokošolsko univerzitetno (prejšnje)";"2016";2734;4187
"Visokošolsko univerzitetno (prejšnje)";"2017";-;-
"Visokošolsko univerzitetno (prejšnje)";"2018";-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2009";20;22
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2010";13;40
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2011";14;40
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2012";9;30
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2013";18;39
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2014";53;129
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2015";115;278
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2016";184;459
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2017";237;474
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2018";218;421
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2009";168;274
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2010";270;360
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2011";338;522
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2012";503;865
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2013";622;1093
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2014";885;1546
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2015";1118;2161
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2016";1416;2564
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2017";1518;2920
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2018";1616;3170
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2009";621;815
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2010";424;603
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2011";343;469
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2012";269;439
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2013";168;304
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2014";118;231
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2015";107;174
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2016";1113;1886
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2017";-;-
"Magisterij znanosti (prejšnji) in specializacija (prejšnja)*";"2018";-;-
"Doktorsko (prejšnje)";"2009";256;199
"Doktorsko (prejšnje)";"2010";231;199
"Doktorsko (prejšnje)";"2011";250;207
"Doktorsko (prejšnje)";"2012";235;233
"Doktorsko (prejšnje)";"2013";218;197
"Doktorsko (prejšnje)";"2014";102;152
"Doktorsko (prejšnje)";"2015";75;117
"Doktorsko (prejšnje)";"2016";156;219
"Doktorsko (prejšnje)";"2017";-;-
"Doktorsko (prejšnje)";"2018";-;-
"Doktorsko (3. bolonjska stopnja)";"2009";1;10
"Doktorsko (3. bolonjska stopnja)";"2010";20;15
"Doktorsko (3. bolonjska stopnja)";"2011";35;31
"Doktorsko (3. bolonjska stopnja)";"2012";47;54
"Doktorsko (3. bolonjska stopnja)";"2013";164;142
"Doktorsko (3. bolonjska stopnja)";"2014";230;185
"Doktorsko (3. bolonjska stopnja)";"2015";264;286
"Doktorsko (3. bolonjska stopnja)";"2016";263;274
"Doktorsko (3. bolonjska stopnja)";"2017";268;246
"Doktorsko (3. bolonjska stopnja)";"2018";212;249
