"VRSTA IZOBRAŽEVANJA";"ŠTUDIJSKO LETO";"Redni";"Izredni"
"Višje strokovno";"2009/10";7497;9097
"Višje strokovno";"2010/11";7999;7596
"Višje strokovno";"2011/12";7992;6411
"Višje strokovno";"2012/13";7293;6113
"Višje strokovno";"2013/14";7948;5303
"Višje strokovno";"2014/15";6897;4588
"Višje strokovno";"2015/16";6538;4624
"Višje strokovno";"2016/17";6347;4654
"Višje strokovno";"2017/18";5964;4389
"Višje strokovno";"2018/19";5707;4859
"Višješolski";"2009/10";-;-
"Višješolski";"2010/11";-;-
"Višješolski";"2011/12";-;-
"Višješolski";"2012/13";-;-
"Višješolski";"2013/14";-;-
"Višješolski";"2014/15";-;-
"Višješolski";"2015/16";-;-
"Višješolski";"2016/17";-;-
"Višješolski";"2017/18";-;-
"Višješolski";"2018/19";-;-
"Visokošolsko strokovno (prejšnje)";"2009/10";7092;3282
"Visokošolsko strokovno (prejšnje)";"2010/11";4151;1528
"Visokošolsko strokovno (prejšnje)";"2011/12";1982;739
"Visokošolsko strokovno (prejšnje)";"2012/13";310;152
"Visokošolsko strokovno (prejšnje)";"2013/14";9;36
"Visokošolsko strokovno (prejšnje)";"2014/15";-;1
"Visokošolsko strokovno (prejšnje)";"2015/16";-;1
"Visokošolsko strokovno (prejšnje)";"2016/17";-;-
"Visokošolsko strokovno (prejšnje)";"2017/18";-;-
"Visokošolsko strokovno (prejšnje)";"2018/19";-;-
"Visokošolsko strokovno (1. bolonjska stopnja)";"2009/10";14090;8658
"Visokošolsko strokovno (1. bolonjska stopnja)";"2010/11";15772;8745
"Visokošolsko strokovno (1. bolonjska stopnja)";"2011/12";16834;8540
"Visokošolsko strokovno (1. bolonjska stopnja)";"2012/13";17481;8317
"Visokošolsko strokovno (1. bolonjska stopnja)";"2013/14";16700;7214
"Visokošolsko strokovno (1. bolonjska stopnja)";"2014/15";15479;6269
"Visokošolsko strokovno (1. bolonjska stopnja)";"2015/16";14017;6361
"Visokošolsko strokovno (1. bolonjska stopnja)";"2016/17";13182;6780
"Visokošolsko strokovno (1. bolonjska stopnja)";"2017/18";12600;6731
"Visokošolsko strokovno (1. bolonjska stopnja)";"2018/19";12382;6695
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2009/10";21565;2441
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2010/11";25410;2216
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2011/12";27731;2128
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2012/13";28536;2029
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2013/14";27320;1740
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2014/15";25677;1467
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2015/16";23632;1281
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2016/17";22700;1462
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2017/18";21609;900
"Visokošolsko univerzitetno (1. bolonjska stopnja)";"2018/19";21445;826
"Visokošolsko univerzitetno (prejšnje)";"2009/10";23098;2153
"Visokošolsko univerzitetno (prejšnje)";"2010/11";16237;1706
"Visokošolsko univerzitetno (prejšnje)";"2011/12";11398;1070
"Visokošolsko univerzitetno (prejšnje)";"2012/13";6982;638
"Visokošolsko univerzitetno (prejšnje)";"2013/14";2443;243
"Visokošolsko univerzitetno (prejšnje)";"2014/15";491;7
"Visokošolsko univerzitetno (prejšnje)";"2015/16";38;-
"Visokošolsko univerzitetno (prejšnje)";"2016/17";-;-
"Visokošolsko univerzitetno (prejšnje)";"2017/18";-;-
"Visokošolsko univerzitetno (prejšnje)";"2018/19";-;-
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2009/10";1565;123
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2010/11";2380;94
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2011/12";3094;117
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2012/13";3749;105
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2013/14";4312;87
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2014/15";4628;76
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2015/16";4756;38
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2016/17";4724;46
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2017/18";4612;75
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";"2018/19";4457;58
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2009/10";4289;2463
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2010/11";6848;2388
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2011/12";9618;2250
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2012/13";12390;2176
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2013/14";14383;2015
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2014/15";15727;1665
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2015/16";15624;1557
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2016/17";15368;1726
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2017/18";14884;1946
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";"2018/19";14476;1997
"Specialistièno";"2009/10";43;126
"Specialistièno";"2010/11";-;-
"Specialistièno";"2011/12";-;-
"Specialistièno";"2012/13";-;-
"Specialistièno";"2013/14";-;-
"Specialistièno";"2014/15";-;-
"Specialistièno";"2015/16";-;-
"Specialistièno";"2016/17";-;-
"Specialistièno";"2017/18";-;-
"Specialistièno";"2018/19";-;-
"Magistrsko (prejšnje)";"2009/10";516;3366
"Magistrsko (prejšnje)";"2010/11";4;75
"Magistrsko (prejšnje)";"2011/12";-;1
"Magistrsko (prejšnje)";"2012/13";-;2
"Magistrsko (prejšnje)";"2013/14";-;1
"Magistrsko (prejšnje)";"2014/15";-;-
"Magistrsko (prejšnje)";"2015/16";-;-
"Magistrsko (prejšnje)";"2016/17";-;-
"Magistrsko (prejšnje)";"2017/18";-;-
"Magistrsko (prejšnje)";"2018/19";-;-
"Doktorsko (prejšnje)";"2009/10";362;936
"Doktorsko (prejšnje)";"2010/11";283;774
"Doktorsko (prejšnje)";"2011/12";171;474
"Doktorsko (prejšnje)";"2012/13";14;160
"Doktorsko (prejšnje)";"2013/14";-;7
"Doktorsko (prejšnje)";"2014/15";-;-
"Doktorsko (prejšnje)";"2015/16";-;-
"Doktorsko (prejšnje)";"2016/17";-;-
"Doktorsko (prejšnje)";"2017/18";-;-
"Doktorsko (prejšnje)";"2018/19";-;-
"Doktorsko (3. bolonjska stopnja)";"2009/10";350;1761
"Doktorsko (3. bolonjska stopnja)";"2010/11";648;2280
"Doktorsko (3. bolonjska stopnja)";"2011/12";723;2730
"Doktorsko (3. bolonjska stopnja)";"2012/13";752;2678
"Doktorsko (3. bolonjska stopnja)";"2013/14";718;2290
"Doktorsko (3. bolonjska stopnja)";"2014/15";707;1937
"Doktorsko (3. bolonjska stopnja)";"2015/16";664;1667
"Doktorsko (3. bolonjska stopnja)";"2016/17";588;1970
"Doktorsko (3. bolonjska stopnja)";"2017/18";674;2150
"Doktorsko (3. bolonjska stopnja)";"2018/19";666;2423
