"Prenoèitve turistov po državah, Slovenija, letno"

"DRŽAVE";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"DRŽAVE - SKUPAJ";9883920;10413012;10604352;10708408;10738766;11653764;12647876;14208545;15694705;15775331
"DOMAÈI";4352702;4363347;4163266;4036607;3905727;4172107;4307898;4523216;4518695;4404565
"TUJI";5531218;6049665;6441086;6671802;6833040;7481657;8339978;9685329;11176010;11370766
"Avstrija";660914;718089;742825;748782;805761;832919;899628;976727;1011135;1011682
"Belgija";129198;166375;186146;204797;187232;191765;213756;272396;325845;327392
"Bolgarija";37089;41356;38407;42783;48854;52494;60573;60488;71538;64855
"Bosna in Hercegovina";75992;80134;82954;88555;89562;99330;111009;153654;195513;195874
"Ciper";2473;2061;2757;3567;3198;2445;4117;4880;4855;3833
"Èeška";143734;160248;178667;188220;197183;225355;264357;331967;431335;511754
"Èrna gora";19733;18176;19805;20880;19991;23393;25089;27722;32523;33807
"Danska";44152;52679;51491;53665;49057;50428;62016;65033;69092;73415
"Estonija";5486;7236;7256;7845;8483;11826;10773;11083;14471;13245
"Finska";43957;45651;42493;48391;42597;47067;52347;56287;68433;70257
"Francija";150945;165907;169800;179063;186875;204862;228979;265864;339177;370188
"Grèija";15817;16735;16645;18544;18090;16813;24258;25744;31746;30190
"Hrvaška";310205;328630;341486;340220;322647;362508;400767;452736;527118;538140
"Irska";24875;25574;21457;22021;25063;35331;41376;46491;57997;60265
"Islandija";2781;5341;5796;5460;5807;7675;8763;11038;10846;7987
"Italija";1066840;1091119;1044295;1018444;1053354;1161076;1268900;1320161;1334059;1278454
"Latvija";9422;9128;9406;10199;10558;11934;14477;15443;16026;16462
"Litva";7656;9154;9023;17566;8839;14340;13185;16552;21072;19866
"Luksemburg";3173;4011;4506;3626;4469;4506;5532;8047;9200;8678
"Madžarska";164850;188515;184832;188518;220135;246885;303261;374431;484913;496271
"Severna Makedonija";36884;35769;32862;36782;32334;36789;41511;56085;65651;59511
"Malta";13008;15659;13626;20005;15706;24515;24107;28938;29952;28546
"Nemèija";637567;712190;766590;769554;776411;856041;923653;1159905;1362214;1522057
"Nizozemska";230072;259480;328336;349214;324993;343193;366168;503902;612710;583274
"Norveška";21229;18264;20000;24436;20079;26864;30322;31613;33476;34610
"Poljska";94489;107326;124470;121969;142023;162205;189284;241339;297403;312763
"Portugalska";17031;16322;16569;17975;18324;18855;22436;29009;40018;40401
"Romunija";46703;55752;56692;52906;59644;72868;84164;108872;135304;113939
"Ruska federacija";218472;270749;369416;372040;340833;243611;228618;305619;298443;303280
"Slovaška";48685;57095;56187;62358;70083;80726;101826;122105;154780;164025
"Srbija";220739;232251;226225;230106;232929;249520;282748;321848;376162;379755
"Španija";76056;81200;79875;78781;75767;91703;114560;155320;204002;207770
"Švedska";38153;39342;46285;51182;45400;50258;56415;69864;86741;84072
"Švica";66635;75028;80596;87362;92236;101845;113847;129956;150388;165301
"Turèija";22011;29573;30502;35400;32614;36186;45459;58404;66923;58997
"Ukrajina";47080;65087;79989;82729;75913;74551;82780;93093;118220;120849
"Združeno kraljestvo";266280;269776;255271;276546;267323;320156;366567;426499;470588;444333
"Druge evropske države";32907;42481;53346;66691;55108;56142;57529;61632;61390;58781
"Južna Afrika";3616;5761;9047;7138;4257;5672;6724;9113;10747;10155
"Druge afriške države";10409;12152;12528;13071;15168;17155;23564;20954;30207;28926
"Avstralija";44243;46101;46220;51267;54937;65067;74346;86279;108818;112535
"Nova Zelandija";9398;8794;7863;8794;9362;13049;15146;14931;17889;20942
"Druge države in ozemlja Oceanije";4874;2542;3044;4612;1516;639;1089;1319;1128;811
"Izrael";99886;111171;141750;183753;165656;219551;279160;221713;237237;202351
"Japonska";62643;59725;71406;63479;70861;65840;54688;54642;68336;54513
"Kitajska (Ljudska republika)";17313;25157;27452;33792;42998;63775;75729;98550;136442;159767
"Koreja (Republika)";10057;17027;24218;31758;78751;116377;144172;170711;171662;159714
"Druge azijske države";42968;58100;88333;91782;140787;161139;186736;230466;303058;321604
"Brazilija";7990;9771;14631;21926;23715;25735;23736;27311;31322;32439
"Druge države Južne in Srednje Amerike";12087;18411;19952;21818;25078;34810;38825;40409;55104;55101
"Kanada";27493;29723;30717;32080;35120;41097;46297;54220;67891;73939
"Združene države (ZDA)";119621;125078;146939;159261;179312;202706;224586;253955;314861;323064
"Druge države in ozemlja Severne Amerike";5327;688;98;89;50;68;23;13;49;26
